file_path,transcript,duration_sec,word_count,char_count,speaker_id
/content/drive/MyDrive/RealTime-ASR-Project/dataset/cleaned/7850-73752-0000.wav,FERDINAND MEDITATES OVER HIS GOOD FORTUNE,3.155,6,41,7850
/content/drive/MyDrive/RealTime-ASR-Project/dataset/cleaned/7850-73752-0001.wav,IN MOMENTS OF DEEP FEELING ALIKE SUDDEN BURSTS OF PROSPERITY AS IN DARKER HOURS MAN MUST BE ALONE,8.07,18,97,7850
/content/drive/MyDrive/RealTime-ASR-Project/dataset/cleaned/7850-73752-0002.wav,IT REQUIRES SOME SELF COMMUNION TO PREPARE OURSELVES FOR GOOD FORTUNE AS WELL AS TO ENCOUNTER DIFFICULTY AND DANGER AND DISGRACE,9.11,21,128,7850
/content/drive/MyDrive/RealTime-ASR-Project/dataset/cleaned/7850-73752-0003.wav,THIS VIOLENT AND TRIUMPHANT REVOLUTION IN HIS PROSPECTS AND HIS FORTUNES WAS HARDLY YET COMPLETELY COMPREHENDED BY OUR FRIEND FERDINAND ARMINE AND WHEN HE HAD LEFT A NOTE FOR THE GENEROUS MIRABEL WHOSE SLUMBERS HE WOULD NOT DISTURB AT THIS EARLY HOUR EVEN WITH GOOD NEWS HE STROLLED ALONG UP CHARLES STREET AND TO THE PARK IN ONE OF THOSE WILD AND JOYOUS REVERIES IN WHICH WE BROOD OVER COMING BLISS AND CREATE A THOUSAND GLORIOUS CONSEQUENCES,28.945,77,443,7850
/content/drive/MyDrive/RealTime-ASR-Project/dataset/cleaned/7850-73752-0004.wav,FERDINAND FELT HIS FREEDOM AS WELL AS HIS HAPPINESS,3.865,9,51,7850
/content/drive/MyDrive/RealTime-ASR-Project/dataset/cleaned/7850-73752-0005.wav,IT WAS INDEED HER HANDWRITING,2.14,5,29,7850
/content/drive/MyDrive/RealTime-ASR-Project/dataset/cleaned/7850-73752-0006.wav,RESTLESS WITH IMPENDING JOY HE SAUNTERED TO THE BRIDGE AND LEANT OVER THE BALUSTRADE GAZING ON THE WATERS IN CHARMED AND CHARMING VACANCY,10.075,23,137,7850
/content/drive/MyDrive/RealTime-ASR-Project/dataset/cleaned/7850-73752-0007.wav,HOW MANY INCIDENTS HOW MANY CHARACTERS HOW MANY FEELINGS FLITTED OVER HIS MEMORY OF WHAT SWEET AND BITTER EXPERIENCE DID HE NOT CHEW THE CUD,10.275,25,140,7850
/content/drive/MyDrive/RealTime-ASR-Project/dataset/cleaned/7850-73752-0008.wav,FOUR AND TWENTY HOURS AGO AND HE DEEMED HIMSELF THE MOST MISERABLE AND FORLORN OF HUMAN BEINGS AND NOW ALL THE BLESSINGS OF THE WORLD SEEMED SHOWERED AT HIS FEET,10.61,30,161,7850
/content/drive/MyDrive/RealTime-ASR-Project/dataset/cleaned/7850-73752-0009.wav,THE MOST GIFTED INDIVIDUALS IN THE LAND EMULATED EACH OTHER IN PROVING WHICH ENTERTAINED FOR HIM THE MOST SINCERE AFFECTION,7.345,20,123,7850
/content/drive/MyDrive/RealTime-ASR-Project/dataset/cleaned/7850-73752-0010.wav,HE COULD NOT FLATTER HIMSELF THAT HE INDEED MERITED SUCH SINGULAR BLESSINGS AND YET WITH ALL HIS FAULTS WHICH WITH HIM WERE BUT THE CONSEQUENCES OF HIS FIERY YOUTH FERDINAND HAD BEEN FAITHFUL TO HENRIETTA,14.04,35,204,7850
/content/drive/MyDrive/RealTime-ASR-Project/dataset/cleaned/7850-73752-0011.wav,HIS CONSTANCY TO HER WAS NOW REWARDED,2.96,7,37,7850
/content/drive/MyDrive/RealTime-ASR-Project/dataset/cleaned/7850-73752-0012.wav,AS FOR HIS FRIENDS THE FUTURE MUST PROVE HIS GRATITUDE TO THEM,4.38,12,62,7850
/content/drive/MyDrive/RealTime-ASR-Project/dataset/cleaned/7850-73752-0013.wav,IT WAS INDEED DANCING ON A VOLCANO,2.58,7,34,7850
/content/drive/MyDrive/RealTime-ASR-Project/dataset/cleaned/7850-73752-0014.wav,AND NOW ALL HAD ENDED SO HAPPILY,2.475,7,32,7850
/content/drive/MyDrive/RealTime-ASR-Project/dataset/cleaned/7850-73752-0015.wav,WAS IT NOT ALL A DREAM OF HIS OWN CREATION WHILE HIS EYE HAD BEEN FIXED IN ABSTRACTION ON THAT BRIGHT AND FLOWING RIVER,7.675,24,119,7850
/content/drive/MyDrive/RealTime-ASR-Project/dataset/cleaned/7850-73752-0016.wav,HE MIGHT BE ENCHANTED BUT THAT WAS THE TALISMAN,3.59,9,47,7850
/content/drive/MyDrive/RealTime-ASR-Project/dataset/cleaned/7850-73752-0017.wav,IN THE PRESENT UNSETTLED THOUGH HOPEFUL STATE OF AFFAIRS FERDINAND WOULD NOT GO HOME,5.97,14,84,7850
/content/drive/MyDrive/RealTime-ASR-Project/dataset/cleaned/7850-73752-0018.wav,IN EXACTLY TEN MINUTES IT IS IN THE POWER OF EVERY MAN TO FREE HIMSELF FROM ALL THE TUMULT OF THE WORLD THE PANGS OF LOVE THE THROBS OF AMBITION THE WEAR AND TEAR OF PLAY THE RECRIMINATING BOUDOIR THE CONSPIRING CLUB THE RATTLING HELL AND FIND HIMSELF IN A SUBLIME SYLVAN SOLITUDE SUPERIOR TO THE CEDARS OF LEBANON AND INFERIOR ONLY IN EXTENT TO THE CHESTNUT FORESTS OF ANATOLIA,28.4,70,378,7850
/content/drive/MyDrive/RealTime-ASR-Project/dataset/cleaned/7850-73752-0019.wav,IS PAPA ALONE ENQUIRED MISS TEMPLE,3.075,6,34,7850
/content/drive/MyDrive/RealTime-ASR-Project/dataset/cleaned/7850-111771-0000.wav,THROUGH THE INFLUENCE OF HON THOMAS L HAMER HE WAS ADMITTED AT WEST POINT IN EIGHTEEN THIRTY NINE,7.56,18,97,7850
/content/drive/MyDrive/RealTime-ASR-Project/dataset/cleaned/7850-111771-0001.wav,AT THIS TIME GRANT WAS NOT TAKEN WITH WAR AND PROBABLY EVINCED LITTLE INTEREST IN ARMY TACTICS,6.65,17,94,7850
/content/drive/MyDrive/RealTime-ASR-Project/dataset/cleaned/7850-111771-0002.wav,GRANT ACTED AS MUSTERING OFFICER UNTIL BEING COMMISSIONED COLONEL OF THE TWENTY FIRST ILLINOIS VOLUNTEERS HE TOOK THE FIELD,8.32,19,123,7850
/content/drive/MyDrive/RealTime-ASR-Project/dataset/cleaned/7850-111771-0003.wav,GENERAL HALLECK IN SPEAKING OF THIS BATTLE SAID,3.425,8,47,7850
